Name,SAMPLE NAME
Address,123 Sample Street  San Diego CA 92123
Account Number,123412341234
Disclaimer,The information contained in this file is intended for the personal and confidential use of the recipient(s) named above.  Any unauthorized use is prohibited.
Title,CSV Export Electric Meter(s)
Resource,Electric
Meter Number,12341234
Interval UOM,Minute(s)
Reading Start,1/1/2025 00:00
Reading End,4/1/2025 23:45
Total Duration,123 Days
Total Usage,1324.19000000002
UOM,kWh
Meter Number,Date,Start Time,Duration,Consumption,Generation,Net
"12341234","1/1/2025","12:00 AM","15","0.0550","0.0000","0.0550"
"12341234","1/1/2025","12:15 AM","15","0.0550","0.0000","0.0550"
"12341234","1/1/2025","12:30 AM","15","0.0500","0.0000","0.0500"
"12341234","1/1/2025","12:45 AM","15","0.0550","0.0000","0.0550"
"12341234","1/1/2025","1:00 AM","15","0.0500","0.0000","0.0500"
"12341234","1/1/2025","1:15 AM","15","0.0550","0.0000","0.0550"
"12341234","1/1/2025","1:30 AM","15","0.0450","0.0000","0.0450"
"12341234","1/1/2025","1:45 AM","15","0.0550","0.0000","0.0550"
"12341234","1/1/2025","2:00 AM","15","0.0500","0.0000","0.0500"
"12341234","1/1/2025","2:15 AM","15","0.1600","0.0000","0.1600"
"12341234","1/1/2025","2:30 AM","15","0.2950","0.0000","0.2950"
"12341234","1/1/2025","2:45 AM","15","0.2750","0.0000","0.2750"
"12341234","1/1/2025","3:00 AM","15","0.0550","0.0000","0.0550"
"12341234","1/1/2025","3:15 AM","15","0.0550","0.0000","0.0550"
"12341234","1/1/2025","3:30 AM","15","0.0500","0.0000","0.0500"
"12341234","1/1/2025","3:45 AM","15","0.0500","0.0000","0.0500"
"12341234","1/1/2025","4:00 AM","15","0.0550","0.0000","0.0550"
"12341234","1/1/2025","4:15 AM","15","0.0500","0.0000","0.0500"
"12341234","1/1/2025","4:30 AM","15","0.0550","0.0000","0.0550"
"12341234","1/1/2025","4:45 AM","15","0.0450","0.0000","0.0450"
"12341234","1/1/2025","5:00 AM","15","0.1300","0.0000","0.1300"
"12341234","1/1/2025","5:15 AM","15","0.8250","0.0000","0.8250"
"12341234","1/1/2025","5:30 AM","15","0.9150","0.0000","0.9150"
"12341234","1/1/2025","5:45 AM","15","0.7700","0.0000","0.7700"
"12341234","1/1/2025","6:00 AM","15","0.5550","0.0000","0.5550"
"12341234","1/1/2025","6:15 AM","15","0.5550","0.0000","0.5550"
"12341234","1/1/2025","6:30 AM","15","0.6650","0.0000","0.6650"
"12341234","1/1/2025","6:45 AM","15","0.3200","0.0000","0.3200"
"12341234","1/1/2025","7:00 AM","15","0.3950","0.0000","0.3950"
"12341234","1/1/2025","7:15 AM","15","0.5150","0.0000","0.5150"
"12341234","1/1/2025","7:30 AM","15","0.3000","0.0000","0.3000"
"12341234","1/1/2025","7:45 AM","15","0.3750","0.0000","0.3750"
"12341234","1/1/2025","8:00 AM","15","0.3650","0.0000","0.3650"
"12341234","1/1/2025","8:15 AM","15","0.5400","0.0000","0.5400"
"12341234","1/1/2025","8:30 AM","15","0.4200","0.0000","0.4200"
"12341234","1/1/2025","8:45 AM","15","0.4150","0.0000","0.4150"
"12341234","1/1/2025","9:00 AM","15","0.4100","0.0000","0.4100"
"12341234","1/1/2025","9:15 AM","15","0.2750","0.0000","0.2750"
"12341234","1/1/2025","9:30 AM","15","0.0500","0.0000","0.0500"
"12341234","1/1/2025","9:45 AM","15","0.0450","0.0000","0.0450"
"12341234","1/1/2025","10:00 AM","15","0.0650","0.0000","0.0650"
"12341234","1/1/2025","10:15 AM","15","0.0550","0.0000","0.0550"
"12341234","1/1/2025","10:30 AM","15","0.0600","0.0000","0.0600"
"12341234","1/1/2025","10:45 AM","15","0.0600","0.0000","0.0600"
"12341234","1/1/2025","11:00 AM","15","0.0500","0.0000","0.0500"
"12341234","1/1/2025","11:15 AM","15","0.0700","0.0000","0.0700"
"12341234","1/1/2025","11:30 AM","15","0.1050","0.0000","0.1050"
"12341234","1/1/2025","11:45 AM","15","0.0550","0.0000","0.0550"
"12341234","1/1/2025","12:00 PM","15","0.0450","0.0000","0.0450"
"12341234","1/1/2025","12:15 PM","15","0.0550","0.0000","0.0550"
"12341234","1/1/2025","12:30 PM","15","0.0500","0.0000","0.0500"
"12341234","1/1/2025","12:45 PM","15","0.0500","0.0000","0.0500"
"12341234","1/1/2025","1:00 PM","15","0.0550","0.0000","0.0550"
